Epoch,Train_R@1,Train_R@5,Train_R@10,Train_R@20,Test_R@1,Test_R@5,Test_R@10,Test_R@20
0,0.0251,0.2080,0.5052,1.0000,0.0329,0.2862,0.5197,1.0000
0,0.0103,0.1158,0.3260,1.0000,0.0428,0.2270,0.4868,1.0000
